alias	normalized_alias	compact_alias	rxcui_count	rxcuis	ttys	original_terms
limonene	limonene	limonene	5	1363991|1426476|1426477|1426777|28730	IN|PIN	limonene|limonene, ()-|limonene, (+)-|limonene, (+/-)-|limonene, (-)-
carvone	carvone	carvone	4	1427074|1427075|1747726|2048712	IN|PIN	carvone|carvone, (+)-|carvone, (+-)-|carvone, (-)-
linalool, ()-	linalool	linalool	4	1362146|1368896|1430254|1800669	IN|PIN	linalool, ()-|linalool, (+)-|linalool, (+-)-|linalool, (-)-
.beta.-pinene, (+)-	beta pinene	betapinene	3	1923811|2393778|2396437	IN|PIN	.beta.-pinene, (+)-|.beta.-pinene, (-)-|beta-pinene
borneol	borneol	borneol	3	1368202|2398335|2530132	IN	borneol|borneol, (+)-|borneol, (-)-
(+) equol	equol	equol	3	1492341|1648566|1803717	IN|PIN|SY	(+) equol|equol, (+)|equol, (+-)-|equol, (-)-
linalyl acetate	linalyl acetate	linalylacetate	3	1735331|2048708|2398334	IN	linalyl acetate|linalyl acetate, (+)-|linalyl acetate, (-)-
menthol 1.25 mg/ml	menthol 12 5 mg ml	menthol125mgml	3	1093357|340115|343613	SCDC	menthol 1.25 mg/ml|menthol 12.5 mg/ml|menthol 125 mg/ml
10 ml dextrose 2.5 % prefilled syringe	10 ml dextrose 25 prefilled syringe	10mldextrose25prefilledsyringe	2	727518|856474	SY	10 ml dextrose 2.5 % prefilled syringe|10 ml dextrose 25 % prefilled syringe
1.3 ml rho(d) immune globulin, human 1154 unt/ml injection	1 3 ml rho d immune globulin human 1154 unt ml injection	13mlrhodimmuneglobulinhuman1154untmlinjection	2	1790506|1790512	SCD	1.3 ml rho(d) immune globulin, human 1154 unt/ml injection|13 ml rho(d) immune globulin, human 1154 unt/ml injection
1.3 ml rho(d) immune globulin, human 1154 unt/ml injection [winrho]	1 3 ml rho d immune globulin human 1154 unt ml injection winrho	13mlrhodimmuneglobulinhuman1154untmlinjectionwinrho	2	1790508|1790513	SBD	1.3 ml rho(d) immune globulin, human 1154 unt/ml injection [winrho]|13 ml rho(d) immune globulin, human 1154 unt/ml injection [winrho]
1.3 ml winrho 1154 unt/ml injection	1 3 ml winrho 1154 unt ml injection	13mlwinrho1154untmlinjection	2	1790508|1790513	SY	1.3 ml winrho 1154 unt/ml injection|13 ml winrho 1154 unt/ml injection
2',3'-dihydroxyacetophenone	2 3 dihydroxyacetophenone	23dihydroxyacetophenone	2	1999190|2268051	IN	2',3'-dihydroxyacetophenone|2,3-dihydroxyacetophenone
2'-hydroxyacetophenone	2 hydroxyacetophenone	2hydroxyacetophenone	2	1664428|1919492	IN	2'-hydroxyacetophenone|2-hydroxyacetophenone
4-terpineol	4 terpineol	4terpineol	2	1314261|1803668	IN|SY	4-terpineol|4-terpineol, (+)-
5.26 ml gemcitabine 38 mg/ml injection	52 6 ml gemcitabine 38 mg ml injection	526mlgemcitabine38mgmlinjection	2	1720975|1720977	SCD	5.26 ml gemcitabine 38 mg/ml injection|52.6 ml gemcitabine 38 mg/ml injection
acetaminophen 2.5 mg/ml	acetaminophen 25 mg ml	acetaminophen25mgml	2	315258|393031	SCDC	acetaminophen 2.5 mg/ml|acetaminophen 25 mg/ml
acetaminophen 2.5 mg/ml oral solution	acetaminophen 2 5 mg ml oral solution	acetaminophen25mgmloralsolution	2	387001|755717	SCD	acetaminophen 2.5 mg/ml oral solution|acetaminophen 25 mg/ml oral solution
acyclovir 2.5 mg/ml	acyclovir 25 mg ml	acyclovir25mgml	2	330925|437346	SCDC	acyclovir 2.5 mg/ml|acyclovir 25 mg/ml
acyclovir 2.5 mg/ml injectable solution	acyclovir 25 mg ml injectable solution	acyclovir25mgmlinjectablesolution	2	248108|415661	SCD	acyclovir 2.5 mg/ml injectable solution|acyclovir 25 mg/ml injectable solution
acycycloguanosine 2.5 mg/ml injectable solution	acycycloguanosine 25 mg ml injectable solution	acycycloguanosine25mgmlinjectablesolution	2	248108|415661	SY	acycycloguanosine 2.5 mg/ml injectable solution|acycycloguanosine 25 mg/ml injectable solution
